Date,Type,Name,Price,Qty,Profit,Reason
2024-10-24,Sell,레버리지,16277.38,110,-1.7265236178985381,추세이탈(SMA20)_매도
2024-10-25,Buy,레버리지,16598.459016205,109,0.0,"스마트_돌파(k=0.53,Vol_OK)"
2024-10-31,Sell,레버리지,15938.06,109,-3.978676668480229,추세이탈(SMA20)_매도
2024-10-31,Buy,한국카본,10944.092604528765,166,0.0,"스마트_돌파(k=0.55,Vol_OK)"
2024-11-01,Sell,한국카본,10568.82,166,-3.4289969766289645,추세이탈(SMA20)_매도
2024-11-07,Buy,한국카본,11305.713352848876,159,0.0,"스마트_돌파(k=0.51,Vol_OK)"
2024-11-13,Sell,한국카본,10668.62,159,-5.635145107303969,추세이탈(SMA20)_매도
2024-11-14,Buy,한국카본,10871.841931119487,168,0.0,"스마트_돌파(k=0.47,Vol_OK)"
2024-11-15,Sell,한국카본,10149.66,168,-6.642682405566605,추세이탈(SMA20)_매도
2024-11-19,Buy,한국카본,10698.308005688388,166,0.0,"스마트_돌파(k=0.48,Vol_OK)"
2024-11-25,Sell,인버스2X,2335.32,829,4.877714385089206,추세이탈(SMA20)_매도
2024-11-25,Buy,레버리지,15622.08435899309,114,0.0,"스마트_돌파(k=0.51,Vol_OK)"
2024-11-27,Buy,인버스2X,2412.931377732577,734,0.0,"스마트_돌파(k=0.55,Vol_OK)"
2024-11-29,Sell,레버리지,14525.89,114,-7.016953268224094,추세이탈(SMA20)_매도
2024-11-29,Sell,한국카본,10608.74,166,-0.8372165546249399,추세이탈(SMA20)_매도
2024-12-03,Buy,레버리지,14918.253582118214,116,0.0,"스마트_돌파(k=0.48,Vol_OK)"
2024-12-04,Sell,레버리지,14590.76,116,-2.1952541583739005,추세이탈(SMA20)_매도
2024-12-12,Sell,인버스2X,2440.11,734,1.126373610051142,추세이탈(SMA20)_매도
2024-12-12,Buy,레버리지,14739.870258526757,117,0.0,"스마트_돌파(k=0.48,Vol_OK)"
2024-12-13,Buy,한국카본,10500.780718054695,165,0.0,"스마트_돌파(k=0.46,Vol_OK)"
2024-12-16,Buy,한중엔시에스,22521.76343369743,76,0.0,"스마트_돌파(k=0.50,Vol_OK)"
2024-12-16,Sell,한국카본,10359.24,165,-1.3479066162322098,추세이탈(SMA20)_매도
2024-12-17,Buy,인버스2X,2482.5017822735235,690,0.0,"스마트_돌파(k=0.50,Vol_OK)"
2024-12-17,Sell,레버리지,14421.1,117,-2.1626395140238985,추세이탈(SMA20)_매도
2024-12-17,Buy,한국카본,10601.114683856533,161,0.0,"스마트_돌파(k=0.45,Vol_OK)"
2024-12-18,Sell,인버스2X,2420.15,690,-2.511651057765625,추세이탈(SMA20)_매도
2024-12-18,Buy,레버리지,14733.412815771411,116,0.0,"스마트_돌파(k=0.44,Vol_OK)"
2024-12-19,Sell,레버리지,14156.63,116,-3.9147943723805376,추세이탈(SMA20)_매도
2024-12-20,Buy,인버스2X,2618.358743287816,645,0.0,"스마트_돌파(k=0.48,Vol_OK)"
2025-01-03,Sell,인버스2X,2485.02,645,-5.092455097286846,추세이탈(SMA20)_매도
2025-01-03,Buy,레버리지,14228.588527143502,127,0.0,"스마트_돌파(k=0.48,Vol_OK)"
2025-01-03,Rebalance,한중엔시에스,29100.0,13,0.0,비중초과
2025-01-22,Rebalance,한국카본,14630.0,27,0.0,비중초과
2025-01-31,Sell,한중엔시에스,27794.3,63,23.41085138303919,추세이탈(SMA20)_매도
2025-02-03,Buy,인버스2X,2513.979235908934,744,0.0,"스마트_돌파(k=0.63,Vol_OK)"
2025-02-03,Sell,레버리지,14246.45,127,0.12553228890149637,추세이탈(SMA20)_매도
2025-02-04,Buy,레버리지,14938.593038041796,124,0.0,"스마트_돌파(k=0.62,Vol_OK)"
2025-02-06,Sell,인버스2X,2320.35,744,-7.702101638040255,추세이탈(SMA20)_매도
2025-02-07,Buy,인버스2X,2367.837873711814,776,0.0,"스마트_돌파(k=0.66,Vol_OK)"
2025-02-10,Sell,한국카본,13093.76,134,23.513049245088244,추세이탈(SMA20)_매도
2025-02-11,Sell,인버스2X,2310.37,776,-2.4270189420413244,추세이탈(SMA20)_매도
2025-02-12,Buy,한중엔시에스,28619.422305943095,63,0.0,"스마트_돌파(k=0.58,Vol_OK)"
2025-02-12,Buy,한국카본,13397.630407784713,136,0.0,"스마트_돌파(k=0.55,Vol_OK)"
2025-02-13,Sell,한중엔시에스,27145.6,63,-5.149727657630054,추세이탈(SMA20)_매도
2025-02-14,Sell,한국카본,13343.26,136,-0.4058210752934367,추세이탈(SMA20)_매도
2025-02-17,Buy,한국카본,13898.701557014587,130,0.0,"스마트_돌파(k=0.49,Vol_OK)"
2025-02-19,Buy,한중엔시에스,29593.802626953995,64,0.0,"스마트_돌파(k=0.56,Vol_OK)"
2025-02-21,Sell,레버리지,16726.48,124,11.968241971685483,RSI초과열(85)_익절
2025-02-21,Sell,한중엔시에스,27095.7,64,-8.441303263537772,추세이탈(SMA20)_매도
2025-02-25,Buy,레버리지,16346.507931324739,114,0.0,"스마트_돌파(k=0.54,Vol_OK)"
2025-02-27,Buy,한중엔시에스,27235.664992173486,67,0.0,"스마트_돌파(k=0.54,Vol_OK)"
2025-02-28,Buy,인버스2X,2295.2382761142367,777,0.0,"스마트_돌파(k=0.56,Vol_OK)"
2025-02-28,Sell,레버리지,15264.41,114,-6.61974983201837,추세이탈(SMA20)_매도
2025-02-28,Sell,한중엔시에스,24800.3,67,-8.941823131079486,추세이탈(SMA20)_매도
