Date,Open,High,Low,Close,Volume,Adj Close
2024-06-05,240.75,242.75,231.5,231.5,6097072,203.08876037597656
2024-06-06,231.0,234.0,230.25,232.25,3899340,203.74673461914062
2024-06-07,233.0,234.75,229.0,233.0,4813924,204.4046630859375
2024-06-10,235.0,235.5,229.75,230.5,3743656,202.21151733398438
2024-06-11,232.5,234.75,225.5,225.75,3991824,198.04444885253906
2024-06-12,220.25,221.25,213.5,217.0,7361124,190.36831665039062
2024-06-13,212.25,216.75,211.25,213.5,4718972,187.29783630371094
2024-06-14,214.25,215.0,210.5,210.75,4498792,184.88534545898438
2024-06-17,210.5,212.25,200.5,203.25,5655244,178.30580139160156
2024-06-18,203.25,205.25,202.25,203.0,3353420,178.0864715576172
2024-06-20,201.75,210.25,201.0,208.0,6679220,182.47283935546875
2024-06-21,208.5,211.75,206.75,210.0,5039988,184.22738647460938
2024-06-24,211.75,217.25,209.25,217.25,5401480,190.58763122558594
2024-06-25,214.5,215.75,209.25,209.75,4593312,184.00808715820312
2024-06-26,207.0,207.5,204.0,204.5,4388628,182.89015197753906
2024-06-27,205.0,206.25,201.25,203.25,4518920,181.77224731445312
2024-06-28,202.5,207.5,196.5,207.0,6229376,185.12599182128906
2024-07-01,205.75,210.5,202.25,203.0,5603052,181.5486602783203
2024-07-02,205.25,205.25,196.75,197.0,4583768,176.18270874023438
2024-07-03,198.0,198.0,192.0,192.25,3112272,171.93463134765625
2024-07-05,191.5,192.0,186.0,186.25,4724408,166.5686798095703
2024-07-08,186.0,187.25,184.5,185.0,3199376,165.4507598876953
2024-07-09,183.75,186.75,182.25,184.75,3865592,165.2271728515625
2024-07-10,183.0,184.25,178.5,179.25,4338136,160.30836486816406
2024-07-11,179.25,192.5,178.75,190.75,7329392,170.59315490722656
2024-07-12,190.75,191.25,182.25,187.75,5974888,167.91017150878906
2024-07-15,186.25,189.0,181.0,186.5,6205448,166.79225158691406
2024-07-16,185.0,190.0,184.0,186.5,5207884,166.79225158691406
2024-07-17,195.75,203.0,195.0,202.75,7021176,181.32510375976562
2024-07-18,198.5,210.0,198.0,205.75,8367456,184.00808715820312
2024-07-19,206.75,213.5,203.25,211.5,7530860,189.1504669189453
2024-07-22,204.0,208.5,201.0,202.25,7346144,180.8779296875
2024-07-23,203.5,205.25,199.75,204.5,5137612,182.89015197753906
2024-07-24,213.5,228.0,213.0,226.5,8158012,202.56536865234375
2024-07-25,226.25,238.25,220.0,234.25,9951096,209.49642944335938
2024-07-26,228.0,232.5,223.0,227.5,7059576,203.45973205566406
2024-07-29,223.5,229.75,220.25,226.25,6081312,202.34181213378906
2024-07-30,223.5,240.75,222.5,235.75,8119168,210.83792114257812
2024-07-31,220.0,222.25,212.25,214.75,9773996,192.05703735351562
2024-08-01,214.0,235.75,208.75,230.5,11691856,206.14271545410156
2024-08-02,244.25,254.0,240.25,247.25,11471684,221.12269592285156
2024-08-05,287.5,289.75,258.25,269.75,15314836,241.2450714111328
2024-08-06,266.5,271.5,248.25,262.25,10877348,234.53762817382812
2024-08-07,249.75,271.5,245.5,270.75,10324380,242.13941955566406
2024-08-08,259.25,266.75,244.5,246.0,8952152,220.00479125976562
2024-08-09,248.75,250.75,240.0,242.5,6623968,216.87464904785156
2024-08-12,241.25,245.75,225.0,241.25,5128696,215.75674438476562
2024-08-13,234.25,234.5,223.0,223.5,6375460,199.8824005126953
2024-08-14,222.25,229.75,219.75,223.25,6356972,199.65882873535156
2024-08-15,214.75,215.25,206.0,206.5,6445940,184.67881774902344
2024-08-16,209.0,210.5,204.25,205.75,4833428,184.00808715820312
2024-08-19,206.0,208.5,198.0,198.25,5167436,177.3006134033203
2024-08-20,199.25,201.5,196.0,199.75,5628868,178.64210510253906
2024-08-21,198.5,200.75,194.25,196.5,5185076,175.73553466796875
2024-08-22,194.0,207.5,193.25,206.0,7801676,184.23165893554688
2024-08-23,201.0,206.0,196.0,199.5,7452056,178.4185333251953
2024-08-26,200.5,208.25,199.25,205.75,5300188,184.00808715820312
2024-08-27,208.0,210.5,202.5,203.75,4513636,182.21942138671875
2024-08-28,204.75,215.5,203.75,211.0,6256956,188.70327758789062
2024-08-29,208.75,213.75,202.25,211.75,7909652,189.37403869628906
2024-08-30,206.75,212.75,204.0,205.0,6081716,183.33731079101562
2024-09-03,209.0,226.75,208.75,223.75,6674312,200.1060028076172
2024-09-04,228.25,229.75,219.75,225.25,8113300,201.4474639892578
2024-09-05,228.0,229.5,218.5,225.0,7247848,201.22390747070312
2024-09-06,226.5,244.25,225.0,243.0,9432920,217.32180786132812
2024-09-09,236.25,241.75,232.5,234.0,6760180,209.27284240722656
2024-09-10,231.5,237.75,227.0,228.0,6410852,203.90689086914062
2024-09-11,226.0,239.0,212.0,213.25,10655912,190.7155303955078
2024-09-12,213.25,215.75,205.75,207.0,7212616,185.12599182128906
2024-09-13,208.0,208.5,202.75,204.25,5131296,182.66656494140625
2024-09-16,207.25,211.75,206.5,207.5,4696512,185.57313537597656
2024-09-17,203.25,210.5,201.75,207.0,5454516,185.12599182128906
2024-09-18,205.75,210.75,200.25,210.0,8029252,187.8089599609375
2024-09-19,195.25,198.0,190.25,194.0,8902316,173.4997100830078
2024-09-20,195.5,200.5,194.0,195.75,5948552,175.06478881835938
2024-09-23,194.25,195.75,192.75,194.25,4117700,173.72329711914062
2024-09-24,192.5,197.5,190.0,191.25,5435220,171.04029846191406
2024-09-25,188.5,188.75,185.0,186.75,4966140,170.33343505859375
2024-09-26,178.5,187.25,178.0,183.0,6425780,166.9130859375
2024-09-27,182.25,187.75,182.0,186.25,5348304,169.8773956298828
2024-09-30,187.5,191.0,184.5,184.75,6270580,168.50924682617188
2024-10-01,185.5,197.25,185.0,193.0,8646944,176.03402709960938
2024-10-02,194.0,197.0,189.5,191.75,6120124,174.89390563964844
2024-10-03,194.75,195.75,189.0,192.75,6043440,175.80599975585938
2024-10-04,186.0,192.0,185.25,185.75,7359188,169.42135620117188
2024-10-07,188.25,193.5,186.75,192.0,4889672,175.12193298339844
2024-10-08,189.25,190.0,182.5,183.5,5556376,167.36912536621094
2024-10-09,183.75,185.0,178.5,179.25,5377868,163.4927520751953
